"","WM115","WM1205Lu","WM266-4","WM793"
"P23381",749.161378756571,1203.29550871992,817.95605927619,820.436372864159
"P23396",667.6321973894,705.790576373137,525.179382078629,753.811559242391
"P23526",1005.82043711848,657.77505563509,1201.19505026449,955.361845033919
"P23528",2245.31068400687,1274.89814875137,1700.12317798991,1321.2165225613
"P23634",1483.43045674101,1869.51123799223,1686.7859576853,1004.07789370698
"P23919",72.405,333.206974230069,135.490199691708,225.464300903509
"P24534",313.958676559143,489.710532758886,173.658014784673,283.191890964117
"P24666",83.785,87.7448298891245,110.942347076622,82.9888743417913
"P24821",3003.6104520736,8309.36737503482,4246.94437771425,7083.64185902867
"P25398",986.99625,736.956467261036,533.443702526954,661.671785714286
"P25705",884.68144860407,1298.4417609553,439.292569637169,1932.32106373551
"P25787",299.372594510602,240.026652734855,294.734867824623,317.47273289547
"P25788",173.373531164381,151.648908730694,139.444092210828,277.686923700217
"P25789",237.820750779552,165.75697207339,191.692474194271,189.767486644496
"P26006",793.927391304348,1115.443219849,224.766111111111,520.828855724245
"P26012",198.1,171.859539483676,112.807470414042,166.87063436345
"P26038",5367.49571896062,4946.69785293092,7295.20245722468,4237.95859970056
"P26373",207.54291776094,376.211583969526,172.783422528611,268.553485744156
"P26599",246.919916885671,340.548272630319,162.665317911798,417.796990816617
"P26639",156.065302283997,1074.00351406211,158.557056732197,264.502636442473
"P26640",868.704527610907,359.953846153846,432.721678321678,774.34279352259
"P26641",831.057001686035,1054.21758747697,869.022725570348,1049.89590631238
"P27105",890.167523741462,442.156686231631,393.882208667701,238.130438040019
"P27348",1356.80698362007,1743.13612547208,1259.68410631021,1252.59524162956
"P27635",382.389816172496,363.664750245367,275.271181248021,389.889930269575
"P27695",81.34,59.98,67.5,195.419285700524
"P27708",529.978897677306,756.939725155875,585.643781578391,375.085431094385
"P27797",719.283529407932,782.172357067648,483.248785120361,941.26964576567
"P27824",316.765,723.825281993745,522.441819709451,1009.10013998868
"P28066",425.458076923077,290.136111111111,352.721987361855,438.467048326076
"P28070",336.476510449187,182.518333333333,180.690714285715,198.8
"P28072",124.945,93.2883333333335,95.74,108.187478179354
"P28482",467.881731807663,415.010963361762,415.685639160354,366.384050334957
"P28838",280.735008342087,197.105571781029,213.726967454385,156.545222295442
"P29401",1824.42888637931,995.919693771205,1899.1077004611,1998.59179669034
"P29692",639.35746710132,1107.50142602623,531.34913639332,640.715218418724
"P29966",303.386811108893,292.762555136585,476.773720368362,354.425767933864
"P29992",508.183447707084,427.598783958,310.347140159502,372.022066428615
"P30041",850.126341114808,702.206394065426,699.708391460437,676.514063848404
"P30043",148.473084227934,188.764154255066,187.394524956597,175.468249801261
"P30044",364.173333333334,278.33,288.795151515151,335.221642820505
"P30048",49.345,42.83,53.26,202.721666666667
"P30050",391.7725,531.648571428572,312.76651246206,403.608636363636
"P30085",182.23,257.065714285714,348.4725,186.576666666666
"P30086",388.543610455809,388.301223801215,303.873475132243,252.468191779736
"P30101",1173.25096703987,1898.56928356718,1372.53781024852,1810.55888543967
"P30153",1127.75402099131,910.429952210305,1028.65297649889,969.062501495133
"P30520",712.828660233881,367.335267920051,700.115661901752,311.250454444373
"P31150",717.801050532169,916.270633465119,875.810263506761,746.477894371598
"P31153",189.650924973946,179.271295820306,117.805872607882,142.443424973946
"P31689",242.527718939236,376.097774178768,186.161864192956,225.23500625906
"P31939",1393.81397448079,1189.73080092093,1446.53622513308,1295.55486637583
"P31943",506.56791654147,603.306424373447,388.289310021514,701.343700820326
"P31946",1753.57603700257,1530.20845209717,1109.49903353667,1337.8627150193
"P31948",541.053012946427,903.888107577948,574.255442626956,614.124711849914
"P31949",227.875,360.800238095238,80.015,375.303758294041
"P32119",336.816852660633,398.484041494403,531.421976497106,389.104511470968
"P32969",931.659930496963,707.114932795329,676.821408414108,912.784211402269
"P33176",471.874533599454,1325.85507475879,1029.8587953135,1215.8140704259
"P34932",1082.10410092789,1002.46160947551,1331.50925029181,1275.50768363831
"P35080",106.585,252.983492014852,141.446139895526,167.548322740714
"P35221",2136.85938049931,1706.55069603794,2082.03880247356,1605.99554815503
"P35222",1384.05386725222,991.639849466767,1109.39982867835,840.35354455384
"P35237",388.400764033884,354.886295576052,198.531666666667,220.862738765844
"P35241",3781.40845224618,2806.84322342616,5217.65300885139,2807.94394232924
"P35268",175.51370534424,203.432415731869,140.810862542082,152.507624392324
"P35527",2697.15188383575,3156.30348505215,3331.87283775262,3996.45480704005
"P35579",5978.81841824544,9173.24822772026,6278.4933409013,7291.11320168086
"P35580",8127.7933475023,4749.31800287132,8034.12962304735,5063.91780708313
"P35606",454.785834222056,387.792134674883,322.026201633483,640.708030172807
"P35613",666.96,724.59997002495,429.353809523809,558.255124922109
"P35908",1893.35163388525,2589.57488640257,3042.55898054774,3472.90424034884
"P35998",374.476293004302,575.244025494652,365.650018750276,513.31644168561
"P36543",205.451936448578,53.44,89.475,83.562188504114
"P36578",474.006826098995,719.004901354411,267.816810079813,578.600505926057
"P36871",722.219273928451,99.5511068037507,617.63741312469,323.308577751174
"P37108",75.18,93.125,41.795,110.981666666666
"P37235",70.775,177.651192150644,80.6702508689769,118.987808401011
"P37802",550.67,938.84,188.475,654.479545454546
"P37837",150.291342508685,311.703715149617,172.310618162637,268.65946704125
"P38606",825.181328864865,507.783457466788,1030.09953372853,721.803275436603
"P38646",346.867058072773,971.814191680411,612.946790901291,1105.19228387245
"P39023",656.682933914487,944.592406312957,421.800385138373,1116.05771189728
"P39656",170.355,207.069830687424,143.456844579343,488.467612124309
"P40227",1850.28093483328,1443.72597249323,1573.08488433361,1377.4929949798
"P40429",178.930350908196,267.899699961063,168.983336992223,238.39006881383
