,WM115,WM266-4,WM793,WM1205Lu
ALG1L5P,0,1,0,0
ALG1L6P,393,165,27,83
ALG1L7P,4,13,0,0
ALG1L8P,0,0,0,1
ALG1L9P,10,0,6,4
ALG1L9P,10,0,6,1
ALG2,1131,192,15184,1154
ALG3,2533,853,19367,1949
ALG3P1,0,0,4,0
ALG5,1883,841,3127,617
ALG6,2322,1302,2195,546
ALG8,3378,1180,15796,1322
ALG9,458,231,2036,228
ALG9-IT1,3,0,4,0
ALK,1136,15,105,423
ALKAL1,0,0,1,0
ALKAL2,3,1,5,3
ALKBH1,645,210,6957,192
ALKBH2,1057,387,2698,314
ALKBH3,954,483,5061,570
ALKBH3-AS1,25,5,0,11
ALKBH4,942,342,1057,318
ALKBH5,3278,1180,11772,1434
ALKBH6,365,105,1629,168
ALKBH7,664,421,1077,410
ALKBH8,1750,510,4307,1187
ALLC,0,0,2,0
ALMS1,1669,747,10158,1671
ALMS1-IT1,58,37,237,39
ALMS1P1,7,2,239,1
ALOX12,139,91,13,30
ALOX12-AS1,202,194,855,41
ALOX12B,0,0,91,2
ALOX12P1,0,0,15,0
ALOX12P2,37,47,52,1
ALOX15,3,4,36,0
ALOX15B,4,13,1,0
ALOX15P2,0,0,0,0
ALOX5,0,3,4,0
ALOX5AP,5,2,25,42
ALOXE3,1,0,1064,5
ALPI,0,0,1,0
ALPK1,1634,394,4555,21
ALPK2,66,12,42,16
ALPK3,69,346,308,9
ALPL,46,1,91,21
ALPP,2,0,16,0
ALPPL2,1,0,1,0
ALS2,4708,1153,24479,2055
ALS2CL,27,17,2583,36
ALS2CR12,78,91,286,27
ALX1,842,708,1792,151
ALX3,2,0,11,0
ALX4,5,0,236,412
ALYREF,3010,1049,13241,4910
AMACR,1075,373,143,241
AMBN,0,0,0,0
AMBP,13,10,3,3
AMBRA1,2444,1177,9800,1340
AMD1,12906,7085,53031,4468
AMD1P1,0,0,0,0
AMD1P2,0,0,0,0
AMDHD1,125,25,143,45
AMDHD2,725,469,2308,429
AMELX,0,0,0,0
AMELY,0,0,0,0
AMER1,280,123,4456,178
AMER2,0,0,22,0
AMER3,0,0,5,1
AMFR,3537,1231,18559,2721
AMH,289,256,16393,396
AMHR2,0,22,5,0
AMIGO1,625,128,5480,47
AMIGO2,138,14,616,25
AMIGO3,2,0,7,6
AMMECR1,4115,1296,15755,1740
AMMECR1-IT1,1,0,11,0
AMMECR1L,3154,975,21799,1934
AMMECR1LP1,0,0,0,4
AMN,33,13,2231,13
AMN1,541,170,962,253
AMOT,1262,1525,2336,746
AMOTL1,28205,3964,58351,8438
AMOTL2,5912,462,36804,1093
AMPD1,1,0,1,0
AMPD2,8132,1087,11378,1469
AMPD3,75,8,425,287
AMPH,1818,34,119,592
AMT,401,253,205,4
AMTN,0,1,0,0
AMY1A,0,0,0,0
AMY1B,0,0,0,0
AMY1C,0,0,0,0
AMY2A,0,0,0,0
AMY2B,33,3,287,5
AMYP1,0,0,0,0
AMZ1,50,2,1325,12
AMZ2,3123,1754,6713,1838
AMZ2P1,564,151,940,118
AMZ2P2,0,0,1,0
ANAPC1,2365,1241,13159,2331
ANAPC10,890,190,2730,201
ANAPC10P1,0,0,11,0
ANAPC11,2469,1348,9266,1474
ANAPC13,4700,1523,11137,1096
ANAPC15,417,337,1462,238
ANAPC16,1729,1272,18766,1170
ANAPC1P1,3,0,32,0
ANAPC2,2670,802,6749,957
ANAPC4,2099,852,3893,593
